[I 2020-01-15 20:56:22.237 SingleUserLabApp extension:158] JupyterLab extension loaded from /opt/jupyterhub/lib64/python3.6/site-packages/jupyterlab
[I 2020-01-15 21:03:22.351 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122202777 (guest160@69.28.236.4) 5.40ms
[I 2020-01-15 21:03:31.418 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122211838 (guest160@69.28.236.4) 1.48ms
[I 2020-01-15 21:03:31.428 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122211870 (guest160@69.28.236.4) 1.09ms
[I 2020-01-15 21:03:32.285 SingleUserLabApp log:174] 200 GET /user/guest160/api/kernelspecs?1579122212718 (guest160@69.28.236.4) 2.61ms
[I 2020-01-15 21:03:32.416 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122212848 (guest160@69.28.236.4) 5.18ms
[I 2020-01-15 21:03:33.985 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122214411 (guest160@69.28.236.4) 11.87ms
[I 2020-01-15 21:03:41.488 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122221900 (guest160@69.28.236.4) 2.27ms
[I 2020-01-15 21:03:41.488 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122221927 (guest160@69.28.236.4) 1.96ms
[I 2020-01-15 21:03:42.479 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122222906 (guest160@69.28.236.4) 4.55ms
[I 2020-01-15 21:03:51.543 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122231969 (guest160@69.28.236.4) 2.37ms
[I 2020-01-15 21:03:51.544 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122231981 (guest160@69.28.236.4) 2.27ms
[I 2020-01-15 21:04:54.236 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122294665 (guest160@69.28.236.4) 5.23ms
[I 2020-01-15 21:04:56.245 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122296667 (guest160@69.28.236.4) 11.46ms
[I 2020-01-15 21:05:03.237 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122303666 (guest160@69.28.236.4) 1.17ms
[I 2020-01-15 21:05:03.273 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122303670 (guest160@69.28.236.4) 1.20ms
[I 2020-01-15 21:05:04.294 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122304724 (guest160@69.28.236.4) 4.62ms
[I 2020-01-15 21:05:04.337 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122304764 (guest160@69.28.236.4) 11.09ms
[I 2020-01-15 21:06:42.308 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122402667 (guest160@69.28.236.4) 13.77ms
[I 2020-01-15 21:06:46.235 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122406667 (guest160@69.28.236.4) 1.24ms
[I 2020-01-15 21:06:46.281 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122406670 (guest160@69.28.236.4) 1.17ms
[I 2020-01-15 21:06:46.305 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122406675 (guest160@69.28.236.4) 4.41ms
[I 2020-01-15 21:07:41.263 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122461666 (guest160@69.28.236.4) 37.71ms
[I 2020-01-15 21:07:47.094 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122467517 (guest160@69.28.236.4) 10.96ms
[I 2020-01-15 21:07:47.280 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122467668 (guest160@69.28.236.4) 1.04ms
